elapsed_s,rss_mb,cpu_pct,db_bytes,wal_bytes,shm_bytes,event_count,etd_count,tasks_completed,last_latency_ms
0.0,58.0,0.0,4096,420272,32768,2,2,2,3596.7
61.2,59.6,0.0,114688,4128272,32768,32,4,29,2213.8
420.7,63.4,3.1,1019904,4169472,32768,244,4,220,3636.2
481.5,64.7,0.0,1179648,4169472,32768,282,4,254,1854.9
540.5,65.4,0.0,1323008,4169472,32768,318,4,286,1479.4
660.5,66.4,0.0,1568768,4169472,32768,384,4,346,4938.8
780.4,67.5,0.0,1884160,4169472,32768,446,4,402,170.5
840.8,67.8,0.0,1966080,4169472,32768,480,4,432,4963.4
961.6,68.8,0.0,2285568,4169472,32768,540,4,486,6140.7
1020.8,69.6,0.0,2355200,4169472,32768,568,4,511,1873.2
1081.6,70.3,0.0,2519040,4169472,32768,596,4,537,174.0
1201.4,71.2,0.0,2760704,4169472,32768,654,4,589,5564.4
1441.9,73.7,0.0,3231744,4169472,32768,782,4,704,2370.5
1500.0,74.5,3.1,3387392,4169472,32768,816,4,735,194.0
1501.7,74.5,0.0,3387392,4169472,32768,818,4,736,1456.0
1620.7,75.4,0.0,3710976,4169472,32768,888,4,799,1564.9
